Date;Close
2012-11-26;32.27
2012-11-27;32.15
2012-11-28;33.23
2012-11-29;33.69
2012-11-30;33.82
2012-12-03;34.62
2012-12-04;33.90
2012-12-05;33.71
2012-12-06;33.90
2012-12-07;34.17
2012-12-10;34.57
2012-12-11;35.28
2012-12-12;35.26
2012-12-13;33.61
2012-12-14;33.81
2012-12-17;34.40
2012-12-18;34.59
2012-12-19;34.61
2012-12-20;34.43
2012-12-21;34.00
2012-12-24;34.28
2012-12-26;33.59
2012-12-27;33.69
2012-12-28;33.22
2012-12-31;33.87
2013-01-02;35.36
2013-01-03;34.77
2013-01-04;34.40
2013-01-07;34.34
2013-01-08;33.68
2013-01-09;33.64
2013-01-10;33.53
2013-01-11;32.91
2013-01-14;33.26
2013-01-15;33.90
2013-01-16;34.10
2013-01-17;34.38
2013-01-18;34.52
2013-01-22;35.19
2013-01-23;36.00
2013-01-24;36.99
2013-01-25;36.98
2013-01-28;38.03
2013-01-29;37.95
2013-01-30;37.52
2013-01-31;37.51
2013-02-01;38.30
2013-02-04;37.74
2013-02-05;38.13
2013-02-06;39.17
2013-02-07;39.48
2013-02-08;39.24
2013-02-11;38.42
2013-02-12;37.89
2013-02-13;38.45
2013-02-14;38.30
2013-02-15;37.04
2013-02-19;39.28
2013-02-20;38.54
2013-02-21;35.16
2013-02-22;36.11
2013-02-25;34.38
2013-02-26;34.43
2013-02-27;35.10
2013-02-28;34.83
2013-03-01;34.65
2013-03-04;35.58
2013-03-05;36.65
2013-03-06;37.69
2013-03-07;38.23
2013-03-08;38.47
2013-03-11;39.10
2013-03-12;39.12
2013-03-13;38.98
2013-03-14;36.85
2013-03-15;35.29
2013-03-18;35.15
2013-03-19;35.08
2013-03-20;35.95
2013-03-21;36.01
2013-03-22;36.62
2013-03-25;37.53
2013-03-26;37.86
2013-03-27;38.16
2013-03-28;37.89
2013-04-01;43.93
2013-04-02;44.34
2013-04-03;41.10
2013-04-04;42.01
2013-04-05;41.37
2013-04-08;41.83
2013-04-09;40.50
2013-04-10;41.86
2013-04-11;43.59
2013-04-12;43.75
2013-04-15;43.30
2013-04-16;45.59
2013-04-17;45.45
2013-04-18;46.97
2013-04-19;47.83
2013-04-22;50.19
2013-04-23;51.01
2013-04-24;50.43
2013-04-25;52.00
2013-04-26;51.20
2013-04-29;54.94
2013-04-30;53.99
2013-05-01;53.28
2013-05-02;54.11
2013-05-03;54.55
2013-05-06;59.50
2013-05-07;55.51
2013-05-08;55.79
2013-05-09;69.40
2013-05-10;76.76
2013-05-13;87.80
2013-05-14;83.24
2013-05-15;84.84
2013-05-16;92.25
2013-05-17;91.50
2013-05-20;89.94
2013-05-21;87.59
2013-05-22;87.24
2013-05-23;92.73
2013-05-24;97.08
2013-05-28;110.33
2013-05-29;104.63
2013-05-30;104.95
2013-05-31;97.76
2013-06-03;92.59
2013-06-04;94.84
2013-06-05;95.37
2013-06-06;97.35
2013-06-07;102.04
2013-06-10;100.05
2013-06-11;94.47
2013-06-12;97.73
2013-06-13;98.18
2013-06-14;100.30
2013-06-17;102.20
2013-06-18;103.39
2013-06-19;104.68
2013-06-20;100.65
2013-06-21;99.55
2013-06-24;101.49
2013-06-25;102.40
2013-06-26;105.72
2013-06-27;109.25
2013-06-28;107.36
2013-07-01;117.18
2013-07-02;117.82
2013-07-03;115.24
2013-07-05;120.09
2013-07-08;121.61
2013-07-09;123.45
2013-07-10;122.27
2013-07-11;125.61
2013-07-12;129.90
2013-07-15;127.26
2013-07-16;109.05
2013-07-17;120.25
2013-07-18;119.03
2013-07-19;119.68
2013-07-22;122.43
2013-07-23;122.74
2013-07-24;121.70
2013-07-25;124.07
2013-07-26;129.39
2013-07-29;134.62
2013-07-30;131.74
2013-07-31;134.28
2013-08-01;135.55
2013-08-02;138.00
2013-08-05;144.68
2013-08-06;142.15
2013-08-07;134.23
2013-08-08;153.48
2013-08-09;153.00
2013-08-12;147.38
2013-08-13;145.43
2013-08-14;139.36
2013-08-15;139.67
2013-08-16;142.00
2013-08-19;144.90
2013-08-20;149.58
2013-08-21;147.86
2013-08-22;157.10
2013-08-23;161.84
2013-08-26;164.22
2013-08-27;167.01
2013-08-28;166.45
2013-08-29;166.06
2013-08-30;169.00
2013-09-03;168.94
2013-09-04;170.62
2013-09-05;169.93
2013-09-06;166.97
2013-09-09;160.70
2013-09-10;166.37
2013-09-11;163.52
2013-09-12;164.93
2013-09-13;165.54
2013-09-16;166.58
2013-09-17;166.23
2013-09-18;166.22
2013-09-19;177.92
2013-09-20;183.39
2013-09-23;181.11
2013-09-24;182.33
2013-09-25;185.24
2013-09-26;188.64
2013-09-27;190.90
2013-09-30;193.37
2013-10-01;193.00
2013-10-02;180.95
2013-10-03;173.31
2013-10-04;180.98
2013-10-07;183.07
2013-10-08;174.73
2013-10-09;168.78
2013-10-10;172.93
2013-10-11;178.70
2013-10-14;179.72
2013-10-15;183.94
2013-10-16;183.56
2013-10-17;182.80
2013-10-18;183.40
2013-10-21;172.60
2013-10-22;171.54
2013-10-23;164.50
2013-10-24;173.15
2013-10-25;169.66
2013-10-28;162.86
2013-10-29;164.47
2013-10-30;159.22
2013-10-31;159.94
2013-11-01;162.17
2013-11-04;175.20
2013-11-05;176.81
2013-11-06;151.16
2013-11-07;139.77
2013-11-08;137.95
2013-11-11;144.70
2013-11-12;137.80
2013-11-13;138.70
2013-11-14;137.60
2013-11-15;135.45
2013-11-18;121.58
2013-11-19;126.09
2013-11-20;121.11
2013-11-21;122.10
2013-11-22;121.38
